name,prompt,negative_prompt
MISC-tribal,"tribal style {prompt} . indigenous, ethnic, traditional patterns, bold, natural colors, highly detailed","modern, futuristic, minimalist, pastel"
MISC-zentangle,"zentangle {prompt} . intricate, abstract, monochrome, patterns, meditative, highly detailed","colorful, representative, simplistic, large fields of color"
MRE-ancient-illustration,"sublime ancient illustration of {prompt}, predating human civilization. crude and simple, but also surprisingly beautiful artwork, made by genius primeval artist. best quality, high resolution","low quality, low resolution"
MRE-anime,"anime artwork illustrating {prompt}. created by japanese anime studio. highly emotional. best quality, high resolution","low quality, low resolution"
MRE-artistic-vision,"powerful artistic vision of {prompt}. breathtaking masterpiece made by great artist. best quality, high resolution","insignificant, flawed, made by bad artist. low quality, low resolution"
MRE-bad-dream,"picture from really bad dream about terrifying {prompt}, true horror. bone-chilling vision. mad world that shouldn't exist. best quality, high resolution","nice dream, pleasant experience. low quality, low resolution"
MRE-brave-art,"brave, shocking, and brutally true art showing {prompt}. inspired by courage and unlimited creativity. truth found in chaos. best quality, high resolution","low quality, low resolution"
MRE-cinematic-dynamic,"epic cinematic shot of dynamic {prompt} in motion. main subject of high budget action movie. raw photo, motion blur. best quality, high resolution","static, still, motionless, sluggish. drawing, painting, illustration, rendered. low budget. low quality, low resolution"
MRE-comic,"breathtaking illustration from adult comic book presenting {prompt}. fabulous artwork. best quality, high resolution","deformed, ugly, low quality, low resolution"
MRE-dark-cyberpunk,"dark cyberpunk illustration of brutal {prompt} in a world without hope, ruled by ruthless criminal corporations. best quality, high resolution","low quality, low resolution"
MRE-dark-dream,"dark and unsettling dream showing {prompt}. best quality, high resolution. created by genius but depressed mad artist. grim beauty","naive, cheerful. comfortable, casual, boring, cliche. low quality, low resolution"
MRE-dynamic-illustration,"insanely dynamic illustration of {prompt}. best quality, high resolution. crazy artstyle, careless brushstrokes, emotional and fun","photography, realistic. static, still, slow, boring. low quality, low resolution"
MRE-elemental-art,"art illustrating insane amounts of raging elemental energy turning into {prompt}, avatar of elements. magical surrealism, wizardry. best quality, high resolution","photography, realistic, real. low quality, low resolution"
MRE-gloomy-art,"astonishing gloomy art made mainly of shadows and lighting, forming {prompt}. masterful usage of lighting, shadows and chiaroscuro. made by black-hearted artist, drawing from darkness. best quality, high resolution","low quality, low resolution"
MRE-heroic-fantasy,"heroic fantasy painting of {prompt}, in the dangerous fantasy world. airbrush over oil on canvas. best quality, high resolution","low quality, low resolution"
MRE-lyrical-geometry,"geometric and lyrical abstraction painting presenting {prompt}. oil on metal. best quality, high resolution","photography, realistic, drawing, rendered. low quality, low resolution"
MRE-manga,"manga artwork presenting {prompt}. created by japanese manga artist. highly emotional. best quality, high resolution","low quality, low resolution"
MRE-space-art,"winner of inter-galactic art contest illustrating {prompt}, symbol of the interstellar singularity. best quality, high resolution. artstyle previously unseen in the whole galaxy","created by human race, low quality, low resolution"
MRE-spontaneous-picture,"spontaneous picture of {prompt}, taken by talented amateur. best quality, high resolution. magical moment, natural look. simple but good looking","overthinked. low quality, low resolution"
MRE-sumi-e-detailed,"highly detailed black sumi-e painting of {prompt}. in-depth study of perfection, created by a master. best quality, high resolution","low quality, low resolution"
MRE-sumi-e-symbolic,"big long brushstrokes of deep black sumi-e turning into symbolic painting of {prompt}. master level raw art. best quality, high resolution","photography, rendered. low quality, low resolution"
MRE-surreal-painting,"surreal painting representing strange vision of {prompt}. harmonious madness, synergy with chance. unique artstyle, mindbending art, magical surrealism. best quality, high resolution","photography, illustration, drawing. realistic, possible. logical, sane. low quality, low resolution"
MRE-undead-art,"long forgotten art created by undead artist illustrating {prompt}, tribute to the death and decay. miserable art of the damned. wretched and decaying world. best quality, high resolution","alive, playful, living. low quality, low resolution"
MRE-underground,"uncanny caliginous vision of {prompt}, created by remarkable underground artist. best quality, high resolution. raw and brutal art, careless but impressive style. inspired by darkness and chaos","photography, mainstream, civilized. low quality, low resolution"
Macro Photography,"Macro Photography, {prompt}, close-up, macro 100mm, macro photography","ugly, deformed, noisy, blurry, low contrast"
Makoto Shinkai,"masterpiece, best quality, Makoto Shinkai style, anime character, emotionally expressive girl, luminous eyes, <lora:eyeLora_eyesV10:0.3> loraeyes, soft cinematic lighting, rain-soaked coastal town, glowing neon signs, vibrant gradient skies, cherry blossoms in bloom, ethereal mist, dynamic fabric movement","EasyNegative, illustration, 3d, sepia, painting, cartoons, sketch, (worst quality:2), (low quality:2), (normal quality:2), lowres, bad anatomy, normal quality, ((monochrome)), ((grayscale)),low resolution, blurry faces, distorted anatomy, oversaturated colors, text errors, 3D render style, cartoonish simplicity, unrefined eyes, watermark, logo,"
Mandola Art,"Mandola art style, {prompt}, complex, circular design, mandola","ugly, deformed, noisy, blurry, low contrast"
Marker Drawing,"Marker Drawing, {prompt}, bold marker lines, visibile paper texture, marker drawing","ugly, deformed, noisy, blurry, low contrast, photograph, realistic"
Medievalism,"Medievalism, {prompt}, inspired by The Middle Ages, medieval art, elaborate patterns and decoration, Medievalism","ugly, deformed, noisy, blurry, low contrast"
Minimalism,"Minimalism, {prompt}, abstract, simple geometic shapes, hard edges, sleek contours, Minimalism","ugly, deformed, noisy, blurry, low contrast"
Model Clothing Starter,"full body, standing, detailed skin texture, detailed cloth texture, beautiful detailed face, detailed background,beautiful detailed face, masterpiece, best quality, ultra detailed, 8k,light smile, intricate details, White skin,film grain, looking at viewer, 1girl,(nude:1.2),(Long black hair:1.3), hairpin, (White background:1.1),white stockings,  <lora:GirlfriendMix_v1_v20:0.5>,","EasyNegative, paintings, sketches, ugly, 3d, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, age spot, manboobs, backlight,(ugly:1.3), (duplicate:1.3), (morbid:1.2), (mutilated:1.2), (tranny:1.3), mutated hands, (poorly drawn hands:1.3), blurry, (bad anatomy:1.2), (bad proportions:1.3), extra limbs, (disfigured:1.3), (more than 2 nipples:1.3), (more than 1 navel:1.3), (missing arms:1.3), (extra legs:1.3), (fused fingers:1.6), (too many fingers:1.6), (unclear eyes:1.3), bad hands, missing fingers, extra digit, (futa:1.1), bad body, double navel, mutad arms, hused arms, (puffy nipples, dark areolae, dark nipples, rei no himo, inverted nipples, long nipples), NG_DeepNegative_V1_75t, pubic hair, fat rolls, obese, bad-picture-chill-75v,(without clothes)"
NAiDefault,"masterpiece, best quality","text, lowres, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, bad anatomy, bad hands, error, missing fingers, extra digit, fewer digits, missing arms, long neck, Humpbacked"
Needle Felted,"3D Felt fiber toy, made from Felt fibers, Tiny 3D render, trending on cgsociety, maya, octane render, made of yarn, Cute",
Negative Extension,,"artist name, twisted torso, (((fusion), extra, bad, fewer, missing), fist,clenched hand)"
Negative prompt,,"Blurry, ugly, tiling, poorly drawn hands, poorly drawn feet, poorly drawn face, out of frame, extra limbs, disfigured, deformed, body out of frame, bad anatomy, watermark, signature, cut off, Low quality, Bad quality, Long neck"
Negative: Portraits,,"(bad anatomy:1.4), (bad proportions:1.4), (deformed:1.3), disfigured, blurry, low quality, gross proportions, (ugly:1.3), (cloned face:1.2), malformed limbs, (weird eye placement:1.5), extra arms, extra legs, extra fingers, fused fingers, too many fingers, long neck, (mutated hands:1.2), mutation, mutilated, (lowres:1.2), (cropped:1.2), out of frame, (poorly drawn face:1.3), poorly drawn hands, (dehydrated:1.2), (worst quality:1.4), (duplicate:1.2), error, (JPEG artifacts:1.2), watermark, (username:1.1), signature, text."
Negative:Abstract Art,,"(bad anatomy:1.4), (bad proportions:1.4), (deformed:1.3), disfigured, blurry, low quality, gross proportions, (ugly:1.3), (cloned patterns:1.3), (oversaturated:1.2), (weird composition:1.5), extra limbs, extra arms, extra legs, extra fingers, fused fingers, too many fingers, long neck, (mutated hands:1.2), mutation, mutilated, (lowres:1.2), (cropped:1.2), out of frame, (poorly drawn shapes:1.3), poorly drawn hands, (dehydrated:1.2), (worst quality:1.4), (duplicate:1.2), error, (JPEG artifacts:1.2), watermark, (username:1.1), signature, text."
Negative:Cityscapes,,"(bad anatomy:1.4), (bad proportions:1.4), (deformed:1.3), disfigured, blurry, low quality, gross proportions, (ugly:1.3), (cloned buildings:1.3), (oversaturated:1.2), (weird skyline:1.5), extra limbs, extra arms, extra legs, extra fingers, fused fingers, too many fingers, long neck, (mutated hands:1.2), mutation, mutilated, (lowres:1.2), (cropped:1.2), out of frame, (poorly drawn architecture:1.3), poorly drawn hands, (dehydrated:1.2), (worst quality:1.4), (duplicate:1.2), error, (JPEG artifacts:1.2), watermark, (username:1.1), signature, text."
Negative:Digital Art,,"(bad anatomy:1.4), (bad proportions:1.4), (deformed:1.3), disfigured, blurry, low quality, gross proportions, (ugly:1.3), (cloned digital objects:1.3), (oversaturated:1.2), (weird color schemes:1.5), extra limbs, extra arms, extra legs, extra fingers, fused fingers, too many fingers, long neck, (mutated hands:1.2), mutation, mutilated, (lowres:1.2), (cropped:1.2), out of frame, (poorly drawn pixels:1.3), poorly drawn hands, (dehydrated:1.2), (worst quality:1.4), (duplicate:1.2), error, (JPEG artifacts:1.2), watermark, (username:1.1), signature, text."
Negative:Fashion,,"(bad anatomy:1.4), (bad proportions:1.4), (deformed:1.3), disfigured, blurry, low quality, gross proportions, (ugly:1.3), (cloned outfits:1.3), (oversaturated:1.2), (weird fashion trends:1.5), extra limbs, extra arms, extra legs, extra fingers, fused fingers, too many fingers, long neck, (mutated hands:1.2), mutation, mutilated, (lowres:1.2), (cropped:1.2), out of frame, (poorly drawn clothes:1.3), poorly drawn hands, (dehydrated:1.2), (worst quality:1.4), (duplicate:1.2), error, (JPEG artifacts:1.2), watermark, (username:1.1), signature, text."
Negative:Food,,"(bad anatomy:1.4), (bad proportions:1.4), (deformed:1.3), disfigured, blurry, low quality, gross proportions, (ugly:1.3), (cloned food items:1.3), (oversaturated:1.2), (weird food presentation:1.5), extra limbs, extra arms, extra legs, extra fingers, fused fingers, too many fingers, long neck, (mutated hands:1.2), mutation, mutilated, (lowres:1.2), (cropped:1.2), out of frame, (poorly drawn food:1.3), poorly drawn hands, (dehydrated:1.2), (worst quality:1.4), (duplicate:1.2), error, (JPEG artifacts:1.2), watermark, (username:1.1), signature, text."
Negative:Landscapes,,"(bad anatomy:1.4), (bad proportions:1.4), (deformed:1.3), disfigured, blurry, low quality, gross proportions, (ugly:1.3), (cloned trees:1.3), (oversaturated:1.2), (weird mountain formation:1.5), extra limbs, extra arms, extra legs, extra fingers, fused fingers, too many fingers, long neck, (mutated hands:1.2), mutation, mutilated, (lowres:1.2), (cropped:1.2), out of frame, (poorly drawn foliage:1.3), poorly drawn hands, (dehydrated:1.2), (worst quality:1.4), (duplicate:1.2), error, (JPEG artifacts:1.2), watermark, (username:1.1), signature, text."
Negative:Prime Negative,,"(poorly drawn face:1.3), (bad anatomy:1.4), (bad proportions:1.5), dehydrated, (ugly:1.2), morbid, (mutated hands:1.4), extra fingers, extra arms, extra legs, (fused fingers:1.2), (long neck:1.3), (low quality:1.5), (low-res:1.4), (worst quality:1.6), (deformed:1.5), (disfigured:1.4), malformed limbs, missing arms, missing legs, (mutated:1.4), mutilated, (gross proportions:1.2), (blurry:1.3), (cropped:1.2), (out of frame:1.2), (duplicate:1.3), (cloned face:1.3), (extra limbs:1.3), (JPEG artifacts:1.2), (error:1.1), (username:1.6), (signature:1.6), (watermark:1.6), (text:1.6)"
Negative:Sci-Fi,,"(bad anatomy:1.4), (bad proportions:1.4), (deformed:1.3), disfigured, blurry, low quality, gross proportions, (ugly:1.3), (cloned spaceships:1.3), (oversaturated:1.2), (weird alien shapes:1.5), extra limbs, extra arms, extra legs, extra fingers, fused fingers, too many fingers, long neck, (mutated hands:1.2), mutation, mutilated, (lowres:1.2), (cropped:1.2), out of frame, (poorly drawn planets:1.3), poorly drawn hands, (dehydrated:1.2), (worst quality:1.4), (duplicate:1.2), error, (JPEG artifacts:1.2), watermark, (username:1.1), signature, text."
Negative:Sports,,"(bad anatomy:1.4), (bad proportions:1.4), (deformed:1.3), disfigured, blurry, low quality, gross proportions, (ugly:1.3), (cloned players:1.3), (oversaturated:1.2), (weird action shots:1.5), extra limbs, extra arms, extra legs, extra fingers, fused fingers, too many fingers, long neck, (mutated hands:1.2), mutation, mutilated, (lowres:1.2), (cropped:1.2), out of frame, (poorly drawn sports gear:1.3), poorly drawn hands, (dehydrated:1.2), (worst quality:1.4), (duplicate:1.2), error, (JPEG artifacts:1.2), watermark, (username:1.1), signature, text."
Negative:Wildlife,,"(bad anatomy:1.4), (bad proportions:1.4), (deformed:1.3), disfigured, blurry, low quality, gross proportions, (ugly:1.3), (cloned animals:1.3), (oversaturated:1.2), (weird animal posture:1.5), extra limbs, extra arms, extra legs, extra fingers, fused fingers, too many fingers, long neck, (mutated hands:1.2), mutation, mutilated, (lowres:1.2), (cropped:1.2), out of frame, (poorly drawn animals:1.3), poorly drawn hands, (dehydrated:1.2), (worst quality:1.4), (duplicate:1.2), error, (JPEG artifacts:1.2), watermark, (username:1.1), signature, text."
Neo-Baroque,"Neo-Baroque, {prompt}, ornate and elaborate, dynaimc, Neo-Baroque","ugly, deformed, noisy, blurry, low contrast"
Neo-Byzantine,"Neo-Byzantine, {prompt}, grand decorative religious style, Orthodox Christian inspired, Neo-Byzantine","ugly, deformed, noisy, blurry, low contrast"
Neo-Futurism,"Neo-Futurism, {prompt}, high-tech, curves, spirals, flowing lines, idealistic future, Neo-Futurism","ugly, deformed, noisy, blurry, low contrast"
Neo-Impressionism,"Neo-Impressionism, {prompt}, tiny dabs of color, Pointillism, painterly, Neo-Impressionism","ugly, deformed, noisy, blurry, low contrast, photograph, realistic"
Neo-Rococo,"Neo-Rococo, {prompt}, curved forms, naturalistic ornamentation, elaborate, decorative, gaudy, Neo-Rococo","ugly, deformed, noisy, blurry, low contrast"
Neoclassicism,"Neoclassicism, {prompt}, ancient Rome and Greece inspired, idealic, sober colors, Neoclassicism","ugly, deformed, noisy, blurry, low contrast"
Nightmare,"nightmare by tim burton, monster dreams, v-ray octane, highly detailed by artgem, art, trending artstation, blender, vivid color, steampunk, messi, cinematic light, alexa, ultra primme",
Non-Human Negative Keywords,,"lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal qualit, jpeg artifacts, signature, watermark, usemame, blury,"
OUTFIT OFFICE,"girl, one-piece office dress, high heels, professional hairstyle, emotionally expressive, luminous eyes, cinematic composition, elegant posture, detailed fabric texture, smooth skin tone, refined facial features, soft lighting, gentle color gradients, naturalistic shadows, subtle background blur","bad-hands-5,bad hands, fewer digits, extra digit, low resolution, blurry faces, distorted anatomy, oversaturated colors, text errors, 3D render style, cartoonish simplicity, unrefined eyes, unrealistic proportions, anatomical inaccuracies, flat lighting, grainy noise, over-sharp edges, low detail textures, exaggerated features, watermark, logo, signature, text overlay, copyright notice, branding, UI elements, digital artifacts, glitch effects"
OUTFIT BADLANDS,"BADLANDS, Tattered clothing, leather jackets, cargo pants, sturdy boots, gloves, goggles, scarves, utility belts, protective gear, makeshift armor, survival backpack, masks, distressed accessories",
OUTFIT BIKER,"BIKER OUTFIT, Motorcycles, leather, freedom, adventurous, road trips, brotherhood, rebellious, riding, thrill-seeking, tough, adrenaline, passion, community, helmet, gears, lifestyle, independence, camaraderie",
OUTFIT FISHERMAN,"FISHERMAN OUTFIT, Angler, fisher, trawler, seafarer, mariner, piscator, angling enthusiast, caster, netsman, sailor, fishing enthusiast, sea rover, aquatic harvester, piscatorial artist",
OUTFIT FORMAL,"FORMAL OUTFIT, Suit, tie, dress shirt, dress shoes, cufflinks, blazer, trousers, formal dress, evening gown, heels, bow tie, cocktail dress, polished attire, elegant accessories",
OUTFIT HEAVY METAL,"HEAVY METAL OUTFIT, Studded, leather, band t-shirts, denim, spikes, chains, black clothing, combat boots, dark aesthetic, vests, metal accessories, ripped jeans, bold graphics",
OUTFIT KNIGHT,"KNIGHT OUTFIT, Chivalrous, armor, sword, honor, valor, medieval, gallant, shield, noble, bravery, jousting, heraldry, nobleman, code of conduct,",
OUTFIT MECHANICAL ARMOR,"ARMOR OUTFIT, Mechanical, robotic, futuristic, powerful, high-tech, armored, technological, exoskeletal, cybernetic, enhanced, formidable, advanced, mechanized, reinforced, automated, cutting-edge, heavy-duty, resilient, battle-ready, futuristic",
OUTFIT MILITARY,"MILITARY OUTFIT, Camo, fatigues, combat boots, tactical gear, uniforms, berets, insignias, helmets, vests, military jackets, patches, cargo pants",
OUTFIT MUSLIM (Woman),"MUSLIM OUTFIT, Modesty, hijab, abaya, thobe, kaftan, prayer garments, niqab, kufi, jilbab, shalwar kameez, headscarf, traditional attire, modest fashion, cultural dress, Islamic clothing",
OUTFIT NERDY,"NERDY OUTFIT, Glasses, suspenders, bow ties, plaid shirts, high-waisted pants, pocket protectors, graphic tees, geeky accessories, sneakers, nerdy-themed attire",
OUTFIT PIRATE,"PIRATE OUTFIT, Bandana, tricorn hat, eye patch, billowy shirt, vest, sash, boots, belt with a buckle, pirate coat, trousers, sword, jewelry",
OUTFIT PUNK ROCK,"PUNK ROCK OUTFIT, Ripped jeans, leather jackets, band tees, safety pins, plaid, studs, combat boots, fishnet stockings, spikes, bold makeup",
OUTFIT SEXY,"SEXY OUTFIT, Sensual, alluring, attractive, captivating, seductive, provocative, appealing, enticing, sultry, desirable, hot, irresistible, enchanting, glamorous, arousing, tempting, stunning, revealing, sleek, elegant,chic, stylish, daring, sophisticated, figure-hugging, eye-catching, attention-grabbing,fashionable.",
OUTFIT SKATER,"SKATER OUTFIT, Baggy jeans, graphic tees, hoodies, sneakers, snapback hats, beanies, skateboard, cargo pants, loose-fitting clothes, streetwear, skate shoes",
OUTFIT WITCH,"WITCH OUTFIT, Enchantress, spells, cauldron, broomstick, magic, potion, coven, sorcery, mystical, supernatural, witchcraft, spellbook, mysterious, pointy hat, folklore, bewitching, casting spells,",
Oil Painting,"oil painting from studio ghibli film, by noriyuki morimoto, digital artist, bright and bold colors, expansive sky, sense of adventure, epic scope studio ghibli",
Op Art,"Op Art, {prompt}, optical illusion, abstract, geometric pattern, impression of movement, Op Art","ugly, deformed, noisy, blurry, low contrast"
Orange Model Exclusive,"masterpiece, best quality","(worst quality, low quality:1.4)"
Origami,"origami style, paper sticker, studio lighting, plain background, pastel colors, papercraft",
Original Photo Style,"Photorealistic, Hyperrealistic, Hyperdetailed, analog style, soft lighting, subsurface scattering, realistic, heavy shadow, masterpiece, best quality, ultra realistic, 8k, golden ratio, Intricate, High Detail, film photography, soft focus",
Ornate and Intricate,"Ornate and Intricate, {prompt}, decorative, highly detailed, elaborate, ornate, intricate","ugly, deformed, noisy, blurry, low contrast"
PAPERCRAFT-collage,"collage style {prompt} . mixed media, layered, textural, detailed, artistic","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic"
PAPERCRAFT-flat papercut,"flat papercut style {prompt} . silhouette, clean cuts, paper, sharp edges, minimalist, color block","3D, high detail, noise, grainy, blurry, painting, drawing, photo, disfigured"
PAPERCRAFT-kirigami,"kirigami representation of {prompt} . 3D, paper folding, paper cutting, Japanese, intricate, symmetrical, precision, clean lines","painting, drawing, 2D, noisy, blurry, deformed"
PAPERCRAFT-paper mache,"paper mache representation of {prompt} . 3D, sculptural, textured, handmade, vibrant, fun","2D, flat, photo, sketch, digital art, deformed, noisy, blurry"
PAPERCRAFT-paper quilling,"paper quilling art of {prompt} . intricate, delicate, curling, rolling, shaping, coiling, loops, 3D, dimensional, ornamental","photo, painting, drawing, 2D, flat, deformed, noisy, blurry"
PAPERCRAFT-papercut collage,"papercut collage of {prompt} . mixed media, textured paper, overlapping, asymmetrical, abstract, vibrant","photo, 3D, realistic, drawing, painting, high detail, disfigured"
PAPERCRAFT-papercut shadow box,"3D papercut shadow box of {prompt} . layered, dimensional, depth, silhouette, shadow, papercut, handmade, high contrast","painting, drawing, photo, 2D, flat, high detail, blurry, noisy, disfigured"
PAPERCRAFT-stacked papercut,"stacked papercut art of {prompt} . 3D, layered, dimensional, depth, precision cut, stacked layers, papercut, high contrast","2D, flat, noisy, blurry, painting, drawing, photo, deformed"
PAPERCRAFT-thick layered papercut,"thick layered papercut art of {prompt} . deep 3D, volumetric, dimensional, depth, thick paper, high stack, heavy texture, tangible layers","2D, flat, thin paper, low stack, smooth texture, painting, drawing, photo, deformed"
PHOTO-alien,"alien-themed {prompt} . extraterrestrial, cosmic, otherworldly, mysterious, sci-fi, highly detailed","earthly, mundane, common, realistic, simple"
PHOTO-film noir,"film noir style {prompt} . monochrome, high contrast, dramatic shadows, 1940s style, mysterious, cinematic","ugly, deformed, noisy, blurry, low contrast, realism, photorealistic, vibrant, colorful"
PHOTO-glamour,"glamorous photo {prompt} . high fashion, luxurious, extravagant, stylish, sensual, opulent, elegance, stunning beauty, professional, high contrast, detailed","ugly, deformed, noisy, blurry, distorted, grainy, sketch, low contrast, dull, plain, modest"
PHOTO-hdr,"HDR photo of {prompt} . High dynamic range, vivid, rich details, clear shadows and highlights, realistic, intense, enhanced contrast, highly detailed","flat, low contrast, oversaturated, underexposed, overexposed, blurred, noisy"
PHOTO-iphone photographic,"iphone photo {prompt} . large depth of field, deep depth of field, highly detailed","drawing, painting, crayon, sketch, graphite, impressionist, noisy, blurry, soft, deformed, ugly, shallow depth of field, bokeh"
PHOTO-long exposure,"long exposure photo of {prompt} . Blurred motion, streaks of light, surreal, dreamy, ghosting effect, highly detailed","static, noisy, deformed, shaky, abrupt, flat, low contrast"
PHOTO-neon noir,"neon noir {prompt} . cyberpunk, dark, rainy streets, neon signs, high contrast, low light, vibrant, highly detailed","bright, sunny, daytime, low contrast, black and white, sketch, watercolor"
PHOTO-silhouette,"silhouette style {prompt} . high contrast, minimalistic, black and white, stark, dramatic","ugly, deformed, noisy, blurry, low contrast, color, realism, photorealistic"
PHOTO-tilt-shift,"tilt-shift photo of {prompt} . selective focus, miniature effect, blurred background, highly detailed, vibrant, perspective control","blurry, noisy, deformed, flat, low contrast, unrealistic, oversaturated, underexposed"
Pencil Sketch,"Hyperrealist pencil sketch drawing, black and white painting, fantasy art, photo realistic, dynamic lighting, artstation, poster, volumetric lighting, very detailed, 4k, da vinci style made with a charcoal pencil",
Pencil Sketch Drawing,"Pencil Sketch Drawing, {prompt}, black and white drawing, graphite drawing","ugly, deformed, noisy, blurry, low contrast"
Photograph,"high quality photography, 3 point lighting, flash with softbox, 4k, Canon EOS R3, hdr, smooth, sharp focus, high resolution, award winning photo, 80mm, f2.8, bokeh",
Pixar,"animation pixar style, pendleton ward, magali villeneuve, artgerm, rob rey and kentaro miura style, golden ratio, behance, trending on art station",
Pop Art 2,"Pop Art, {prompt}, vivid colors, flat color, 2D, strong lines, Pop Art","ugly, deformed, noisy, blurry, low contrast, photo, realistic"
Postapocalyptic,"fog, animals, birds, deer, bunny, postapocalyptic, overgrown with plant life and ivy, artgerm, yoshitaka amano, gothic interior, 8k, octane render, unreal engine",
Poster Illustration,"official fanart behance hd by jesper ejsing, by rhads, makoto shinkai and lois van baarle, ilya kuvshinov, rossdraws global illumination",
Professional Scenic Photographs,"long shot scenic professional photograph of {prompt}, perfect viewpoint, highly detailed, wide-angle lens, hyper realistic, with dramatic sky, polarizing filter, natural lighting, vivid colors, everything in sharp focus, HDR, UHD, 64K",
Psycho,"anthropomorphic, beautiful, borderlands 3 psycho portrait, colourful vector, graphic novel, grunge",
Punky,"in a punk style, piercings, tatoos, trash, garbages, color paint splats, coloured spoils, dust and scratches, punk crete, rainbow coloured hairs,synthwave,dark mood lighting","ugly, tiling, poorly drawn hands, poorly drawn feet, poorly drawn face, out of frame, extra limbs, disfigured, deformed, body out of frame, bad anatomy, watermark, signature, cut off, low contrast, underexposed, overexposed, bad art, beginner, amateur, di"
Real to Anime (2.5D) Starter,"masterpiece, best quality, animegao, illustration, <lora:fashionGirl_v54:0.3>,","(EasyNegative:1.2), (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), skin spots, acnes, skin blemishes, age spot, (ugly:1.331), (duplicate:1.331), (morbid:1.21), (mutilated:1.21), (tranny:1.331), mutated hands, (poorly drawn hands:1.5), blurry, (bad anatomy:1.21), (bad proportions:1.331), extra limbs, (disfigured:1.331), (missing arms:1.331), (extra legs:1.331), (fused fingers:1.61051), (too many fingers:1.61051), (unclear eyes:1.331), lowers, bad hands, missing fingers, extra digit,bad hands, missing fingers, (((extra arms and legs))),lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, normal quality, jpeg artifacts, (signature, watermark, username:1.4), "
Realistic Anime Face,"Closeup face portrait, smooth soft skin, beautiful eyes, intricate colored hair, symmetrical, anime wide eyes, soft lighting, detailed face, by makoto shinkai, stanley artgerm lau, wlop, rossdraws, concept art, digital painting",
Realistic Face Preset,"(RAW photo, best quality), (realistic, photo-realistic:1.3), masterpiece, an extremely delicate and beautiful, extremely detailed, CG, unity , 2k wallpaper, Amazing, finely detail, light smile, extremely detailed CG unity 8k wallpaper, huge filesize, ultra-detailed, highres, absurdres, soft light, (((medium hair:1.3), short bang,  floating hair novafrogstyle)), beautiful detailed girl, detailed fingers, extremely detailed eyes and face, beautiful detailed nose,  beautiful detailed eyes, long eyelashes, light on face, looking at viewer, (closed mouth:1.2), 1girl, cute, young, mature face, (full body:1.3), ((small breasts)), realistic face, realistic body, beautiful detailed thigh, (ulzzang-6500:0.8),",", (EasyNegative:1.2), ng_deepnegative_v1_75t, paintings, sketches, (worst quality:2), (low quality:2), (normal quality:2), lowres, normal quality, ((monochrome)), ((grayscale)), bad anatomy,(long hair:1.4),DeepNegative,(fat:1.2),facing away, looking away,tilted head,lowres,bad anatomy,bad hands, text, error, missing fingers,extra digit, fewer digits, cropped, worstquality, low quality, normal quality,jpegartifacts,signature, watermark, username,blurry,bad feet,cropped,poorly drawn hands,poorly drawn face,mutation,deformed,worst quality,low quality,normal quality,jpeg artifacts,signature,watermark,extra fingers,fewer digits,extra limbs,extra arms,extra legs,malformed limbs,fused fingers,too many fingers,long neck,cross-eyed,mutated hands,polar lowres,bad body,bad proportions,gross proportions,text,error,missing fingers,missing arms,missing legs,extra digit"
